Program starting as '"D:\GCC_WORK\WORKSPACE\SOURCES\ZeroBraneStudioEduPack-1.40-win32\bin\lua53.exe" -e "io.stdout:setvbuf('no')" "D:\GCC_WORK\MUEHLBAUER\templates\Scripts\XmlRpcTest\TestGpRpc.lua"'.
Program 'lua53.exe' started in 'D:\GCC_WORK\MUEHLBAUER\templates\Scripts' (pid: 15640).
0000 DEBUG   Changed the voltage
0001 DEBUG   Timeout was set
0002 DEBUG   Available readers = O2Micro CCID SC Reader 0
0003 DEBUG   Reader Initialized
0004 INFO    Connected to reader: O2Micro CCID SC Reader 0
0005 INFO    Card ATR = 3B6800000073C84011009000
0006 INFO    PPS is exchanged automatically by OS
0007 INFO    Card ATR = 3B6800000073C84011009000
0008 DEBUG   KCV is verified for GP_DEFAULT_KEY
0009 DEBUG   KMC ENC key name = GP_DEFAULT_KEY
0010 DEBUG   KMC MAC key name = GP_DEFAULT_KEY
0011 DEBUG   KMC KEK key name = GP_DEFAULT_KEY
0012 INFO    send: 00A4040008A000000003000000 [3S]
0013 INFO    Recv: 6112  
0014 INFO    send: 00C0000012 [2S]
0015 INFO    Recv: 9000 6F108408A000000003000000A5049F6501FF 
0016 INFO    CM AID is A000000003000000 selected!
0017 INFO    send: 8050000008D07BB5FBE3B3FF71 [3S]
0018 INFO    Recv: 611C  
0019 INFO    send: 00C000001C [2S]
0020 INFO    Recv: 9000 000033320108435F1923010200117911365D7100C1A45985194982BA 
0021 DEBUG   Key Version (Hex) = 01
0022 DEBUG   SCP Major Version (Hex) = 02
0023 WARNING Overriding SCP version: card reports 2 but user requested 8
0024 DEBUG   Card Challenge = 00117911365D7100
0025 DEBUG   Card Cryptogram = C1A45985194982BA
0026 DEBUG   SCP02 dersification data ENC = 01820011000000000000000000000000
0027 DEBUG   SCP02 dersification data MAC = 01010011000000000000000000000000
0028 DEBUG   SCP02 dersification data KEK = 01810011000000000000000000000000
0029 DEBUG   SCP02 Session Key ENC = 6DCE2A99BACB5207A7A96A92F114D66C
0030 DEBUG   SCP02 Session Key MAC = 0D446132B168F75CD6F0A780693A4DD3
0031 DEBUG   SCP02 Session Key KEK = 19F7B0F94837F32874B29B5EFB7809F6
0032 DEBUG   Computed MAC = CB4114363620F4B5C27E95E30E18DF85C1A45985194982BA
0033 DEBUG   Computed MAC = 55FE69ED1506A37CC2E6070C4E6352A303B4AF38F4913E2F
0034 DEBUG   apdu =  848200001003B4AF38F4913E2F
0035 DEBUG   C_MAC =  3287E8C8365CC6A1
0036 INFO    send: 848200001003B4AF38F4913E2F3287E8C8365CC6A1 [3S]
0037 INFO    Recv: 9000  
0038 INFO    send: 00A4040008A000000003000000 [3S]
0039 INFO    Recv: 6112  
0040 INFO    send: 00C0000012 [2S]
0041 INFO    Recv: 9000 6F108408A000000003000000A5049F6501FF 
0042 INFO    CM AID is A000000003000000 selected!
0043 DEBUG   KMC ENC = 404142434445464748494A4B4C4D4E4F
0044 DEBUG   KMC MAC = 404142434445464748494A4B4C4D4E4F
0045 DEBUG   KMC KEK = 404142434445464748494A4B4C4D4E4F
0046 DEBUG   key_derivation_type = 0
0047 DEBUG   Random = d07bb5fbe3b3ff71
0048 INFO    send: 8050000008D07BB5FBE3B3FF71 [3S]
0049 INFO    Recv: 611C  
0050 INFO    send: 00C000001C [2S]
0051 INFO    Recv: 9000 000033320108435F19230102001208F4648715194E4B96D88E29565A 
0052 DEBUG   Key Version (Hex) = 01
0053 DEBUG   SCP Major Version (Hex) = 02
0054 WARNING Overriding SCP version: card reports 2 but user requested 8
0055 DEBUG   Card Challenge = 001208F464871519
0056 DEBUG   Card Cryptogram = 4E4B96D88E29565A
0057 DEBUG   Not doing key diversification
0058 DEBUG   SCP02 dersification data ENC = 01820012000000000000000000000000
0059 DEBUG   SCP02 dersification data MAC = 01010012000000000000000000000000
0060 DEBUG   SCP02 dersification data KEK = 01810012000000000000000000000000
0061 DEBUG   SCP02 Session Key ENC = CB4ED15E982DB16EB630FE9F3E04D665
0062 DEBUG   SCP02 Session Key MAC = 89D93B2D2D7E7AB95B61F82EDE3975B7
0063 DEBUG   SCP02 Session Key KEK = F162D1055E932F638893C5BCF9F31D70
0064 DEBUG   Computed MAC = 01C44405D36F6890659DB33B1DCD70104E4B96D88E29565A
0065 DEBUG   Computed MAC = 71E9CE4143B355C36C604D94DA8537DE711A75D8ECE60EAE
0066 DEBUG   apdu =  8482000010711A75D8ECE60EAE
0067 DEBUG   C_MAC =  A9622BB11A2C8717
0068 INFO    send: 8482000010711A75D8ECE60EAEA9622BB11A2C8717 [3S]
0069 INFO    Recv: 9000  
Program completed in 0.83 seconds (pid: 15640).
