.\log\GpListRegistry.log log start: Tue Feb 21 15:41:57 2017
0000 DEBUG   Changed the voltage
0001 DEBUG   Timeout was set
0002 DEBUG   Available readers = O2Micro CCID SC Reader 0
0003 DEBUG   Reader Initialized
0004 INFO    Connected to reader: O2Micro CCID SC Reader 0
0005 INFO    Card ATR = 3B67000053432D3034304A
0006 INFO    PPS is exchanged automatically by OS
0007 INFO    Card ATR = 3B67000053432D3034304A
0008 DEBUG   KMC ENC = 404142434445464748494A4B4C4D4E4F
0009 DEBUG   KMC MAC = 404142434445464748494A4B4C4D4E4F
0010 DEBUG   KMC KEK = 404142434445464748494A4B4C4D4E4F
0011 INFO    send: 00A4040008A000000003000000 [3S]
0012 INFO    Recv: 6112  
0013 INFO    send: 00C0000012 [2S]
0014 INFO    Recv: 9000 6F108408A000000003000000A5049F6501FE 
0015 INFO    CM AID is A000000003000000 selected!
0016 DEBUG   key_derivation_type = 0
0017 DEBUG   Random = 2fd29664bdba3a2f
0018 INFO    send: 80500000082FD29664BDBA3A2F [3S]
0019 INFO    Recv: 611C  
0020 INFO    send: 00C000001C [2S]
0021 INFO    Recv: 9000 0000428402046F43246CFF02005B6B9E4844A2DBF6AF4C0E736B37D8 
0022 DEBUG   Key Version (Hex) = ff
0023 DEBUG   SCP Major Version (Hex) = 02
0024 WARNING Overriding SCP version: card reports 2 but user requested 8
0025 DEBUG   Card Challenge = 005B6B9E4844A2DB
0026 DEBUG   Card Cryptogram = F6AF4C0E736B37D8
0027 DEBUG   Not doing key diversification
0028 DEBUG   SCP02 dersification data ENC = 0182005B000000000000000000000000
0029 DEBUG   SCP02 dersification data MAC = 0101005B000000000000000000000000
0030 DEBUG   SCP02 dersification data KEK = 0181005B000000000000000000000000
0031 DEBUG   SCP02 Session Key ENC = 18BA10C66DAC2616D15B2E8304FD4572
0032 DEBUG   SCP02 Session Key MAC = 4826D92AA78740E570E28C04307AE422
0033 DEBUG   SCP02 Session Key KEK = 3DAA181BEF155EBFE9111458A3AF30CD
0034 DEBUG   Computed MAC = ED7656F1629EDF8FD8A56DE7D972A7A2F6AF4C0E736B37D8
0035 DEBUG   Computed MAC = 6D8D0715EDE4291DF60B47BF715860E5DF02709B47B12F79
0036 DEBUG   apdu =  8482000010DF02709B47B12F79
0037 DEBUG   C_MAC =  CBDA45D12C8A813E
0038 INFO    send: 8482000010DF02709B47B12F79CBDA45D12C8A813E [3S]
0039 INFO    Recv: 9000  
0040 INFO    send: 80F28000024F00 [3S]
0041 INFO    Recv: 610B  
0042 INFO    send: 00C000000B [2S]
0043 INFO    Recv: 9000 08A000000003000000019A 
0044 DEBUG   AID = A000000003000000 LC = 0x01 priv = 0x9A kind = 0
0045 INFO    send: 80F24000024F00 [3S]
0046 INFO    Recv: 6127  
0047 INFO    send: 00C0000027 [2S]
0048 INFO    Recv: 9000 07A0000000041010071407A0000000031010071010346637303464363536643439366536360700 
0049 DEBUG   AID = A0000000041010 LC = 0x07 priv = 0x14 kind = 1
0050 DEBUG   AID = A0000000031010 LC = 0x07 priv = 0x10 kind = 1
0051 DEBUG   AID = 34663730346436353664343936653636 LC = 0x07 priv = 0x00 kind = 1
0052 INFO    send: 80F22000024F00 [3S]
0053 INFO    Recv: 6150  
0054 INFO    send: 00C0000050 [2S]
0055 INFO    Recv: 9000 07A0000000035350010006A00000000410010006A00000000310010008D410650990003000010008D410650990001000010008D410650990002000010010363336663664326536393665363636660100 
0056 DEBUG   AID = A0000000035350 LC = 0x01 priv = 0x00 kind = 3
0057 DEBUG   AID = A00000000410 LC = 0x01 priv = 0x00 kind = 3
0058 DEBUG   AID = A00000000310 LC = 0x01 priv = 0x00 kind = 3
0059 DEBUG   AID = D410650990003000 LC = 0x01 priv = 0x00 kind = 3
0060 DEBUG   AID = D410650990001000 LC = 0x01 priv = 0x00 kind = 3
0061 DEBUG   AID = D410650990002000 LC = 0x01 priv = 0x00 kind = 3
0062 DEBUG   AID = 36333666366432653639366536363666 LC = 0x01 priv = 0x00 kind = 3
0063 INFO    send: 80F21000024F00 [3S]
0064 INFO    Recv: 61B1  
0065 INFO    send: 00C00000B1 [2S]
0066 INFO    Recv: 9000 07A000000003535001000108A00000000353504106A0000000041001000207A00000000410FF07A000000004101006A0000000031001000307A000000003105607A000000003104D07A000000003105008D41065099000300001000107D410650990003008D41065099000100001000107D410650990001008D41065099000200001000107D410650990002010363336663664326536393665363636660100011034663730346436353664343936653636 
0067 DEBUG   AID = A0000000035350 LC = 0x01 priv = 0x00 kind = 4
0068 DEBUG   executables: 
0069 DEBUG   - A000000003535041
0070 DEBUG   AID = A00000000410 LC = 0x01 priv = 0x00 kind = 4
0071 DEBUG   executables: 
0072 DEBUG   - A00000000410FF
0073 DEBUG   - A0000000041010
0074 DEBUG   AID = A00000000310 LC = 0x01 priv = 0x00 kind = 4
0075 DEBUG   executables: 
0076 DEBUG   - A0000000031056
0077 DEBUG   - A000000003104D
0078 DEBUG   - A0000000031050
0079 DEBUG   AID = D410650990003000 LC = 0x01 priv = 0x00 kind = 4
0080 DEBUG   executables: 
0081 DEBUG   - D4106509900030
0082 DEBUG   AID = D410650990001000 LC = 0x01 priv = 0x00 kind = 4
0083 DEBUG   executables: 
0084 DEBUG   - D4106509900010
0085 DEBUG   AID = D410650990002000 LC = 0x01 priv = 0x00 kind = 4
0086 DEBUG   executables: 
0087 DEBUG   - D4106509900020
0088 DEBUG   AID = 36333666366432653639366536363666 LC = 0x01 priv = 0x00 kind = 4
0089 DEBUG   executables: 
0090 DEBUG   - 34663730346436353664343936653636
0091 INFO    Reader disconnected!
log ends: Tue Feb 21 15:41:58 2017

